id_stasiun,a_pm10,a_pm25,a_so2,a_co,a_o3,a_no2,a_hc,nama,kota,provinsi,p3e,time_z,index_ISPU,tanggal,Waktu
MATARAM,11.33,9.15,25.92,848.65,17.46,15.29,8.09,Mataram Sekarbela,Mataram,Nusa Tenggara Barat,BALI DAN NUSA TENGGARA,WITA,30.0,2024-02-26,13:00:00
KABUPATEN_INDRAMAYU,3.41,2.69,1.09,255.3,3.29,3.02,0.12,Kabupaten Indramayu Margadadi,Indramayu,Jawa Barat,Jawa,WIB,9.0,2024-02-26,13:00:03
KABUPATEN_TANGERANGCG,74.19,57.7,27.21,2125.05,13.89,35.28,,Kabupaten Tangerang Curug,Tangerang,Banten,Jawa,WIB,102.0,2024-02-27,11:00:03
DEPOK,54.48,52.12,38.54,1785.54,137.54,11.15,58.85,Depok Pancoran Mas,Depok,Jawa Barat,JAWA,WIB,96.0,2024-02-27,11:00:00
KABUPATEN_BOGOR,80.67,51.29,0.15,1353.69,9.46,20.54,44.96,Kabupaten Bogor Tegar Beriman,Kabupaten Bogor,Jawa Barat,JAWA,WIB,95.0,2024-02-27,11:00:00
TANGERANG_SELATAN,50.81,47.92,71.46,132.0,17.67,48.46,51.85,Tangerang Selatan Serpong,Tangerang Selatan,Banten,JAWA,WIB,91.0,2024-02-27,11:00:00
PEKANBARU,4.94,29.04,4.75,1708.56,208.73,13.94,1.15,Pekanbaru Tenayan Raya,Pekanbaru,Riau,SUMATERA,WIB,89.0,2024-02-27,11:00:00
KABUPATEN_BANDUNGBB,58.53,45.55,10.9,1824.38,10.13,0.5,81.87,Kabupaten Bandung Barat Saguling,Bandung Barat,Jawa Barat,Jawa,WIB,88.0,2024-02-27,11:00:02
KABUPATEN_BOGORLL,57.64,44.89,11.46,1790.09,221.92,1.01,1.23,Kabupaten Bogor Leuwiliang,Bogor,Jawa Barat,Jawa,WIB,87.0,2024-02-27,11:00:01
PELINDO1_CIREBON,17.62,9.54,13.35,535.98,14.46,155.54,,CIREBON - 01,Cirebon,Jawa Barat,JAWA,WIB,81.0,2024-02-27,11:00:00
BEKASI,41.23,38.31,18.4,712.65,9.65,101.5,40.56,Bekasi Kayuringin,Bekasi,Jawa Barat,JAWA,WIB,79.0,2024-02-27,11:00:00
PELINDO2_CIREBON,58.27,30.54,75.5,470.23,86.04,145.65,,CIREBON - 02,Cirebon,Jawa Barat,JAWA,WIB,77.0,2024-02-27,11:00:00
DLH_MEDAN_02,34.0,36.17,26.48,1256.45,0.26,12.3,3.45,DLH MEDAN 02,Medan,Sumatera Utara,SUMATERA,WIB,76.0,2024-02-27,11:00:00
BATAM,37.42,35.17,36.23,1244.85,65.35,65.5,9.62,Batam Sagulung,Batam,Kepulauan Riau,SUMATERA,WIB,75.0,2024-02-27,11:00:00
KABUPATEN_KARAWANG,32.04,34.25,167.95,2566.92,21.0,48.88,60.73,Kabupaten Karawang Wetan,Kabupaten Karawang,Jawa Barat,JAWA,WIB,73.0,2024-02-27,11:00:00
PALANGKARAYA,6.44,5.56,107.19,2685.38,80.12,0.0,,Palangkaraya Jekan Raya,Palangkaraya,Kalimantan Tengah,KALIMANTAN,WIB,72.0,2024-02-27,11:00:00
KABUPATEN_SEMARANG,30.08,16.75,108.39,579.11,56.83,18.4,41.36,Kabupaten Semarang Candirejo,Semarang,Jawa Tengah,Jawa,WIB,72.0,2024-02-27,11:00:00
KABUPATEN_SERANG,41.07,32.03,24.21,539.24,0.31,32.7,64.64,Kabupaten Serang Lamaran,Serang,Banten,Jawa,WIB,71.0,2024-02-27,11:00:02
SOLO,24.81,24.15,97.0,730.0,,,0.0,Solo Manahan,Solo,Jawa Tengah,JAWA,WIB,68.0,2024-02-27,11:00:00
KOTA_CILEGON,36.5,27.89,36.48,1705.16,34.01,61.71,40.47,Kota Cilegon Pulomerak,Cilegon,Banten,Jawa,WIB,66.0,2024-02-27,11:00:02
